Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-3Z-A93Z-01	1	3218610.0	112686349	62970.0	-0.0224
TCGA-3Z-A93Z-01	1	112706213.0	112706218	2.0	-1.433
TCGA-3Z-A93Z-01	1	112709053.0	247813706	66158.0	-0.023
TCGA-3Z-A93Z-01	2	484222.0	56382892	32790.0	0.226
TCGA-3Z-A93Z-01	2	56386656.0	56387668	3.0	-0.8375
TCGA-3Z-A93Z-01	2	56404074.0	76120604	11346.0	0.2267
TCGA-3Z-A93Z-01	2	76120750.0	76136551	3.0	1.233
TCGA-3Z-A93Z-01	2	76140403.0	129500790	23183.0	0.2277
TCGA-3Z-A93Z-01	2	129501338.0	129501340	2.0	-1.5908
TCGA-3Z-A93Z-01	2	129504032.0	234940575	59355.0	0.2262
TCGA-3Z-A93Z-01	2	234947630.0	234955890	40.0	-0.1863
TCGA-3Z-A93Z-01	2	234963083.0	242476062	4581.0	0.2183
TCGA-3Z-A93Z-01	3	2212571.0	135301473	74600.0	-0.3733
TCGA-3Z-A93Z-01	3	135394673.0	197538677	31719.0	-0.017
TCGA-3Z-A93Z-01	4	1053934.0	188763651	102737.0	-0.0215
TCGA-3Z-A93Z-01	5	914233.0	180360469	100513.0	0.2511
TCGA-3Z-A93Z-01	6	1014281.0	170903919	96482.0	-0.0309
TCGA-3Z-A93Z-01	7	705284.0	96814195	49377.0	0.0173
TCGA-3Z-A93Z-01	7	96816009.0	96818791	2.0	-1.2617
TCGA-3Z-A93Z-01	7	96820019.0	105817252	4200.0	0.0231
TCGA-3Z-A93Z-01	7	105818179.0	105822184	9.0	-0.9163
TCGA-3Z-A93Z-01	7	105826561.0	158385118	27743.0	0.0158
TCGA-3Z-A93Z-01	8	617667.0	104131722	56921.0	-0.0275
TCGA-3Z-A93Z-01	8	104132201.0	104135844	7.0	-0.7996
TCGA-3Z-A93Z-01	8	104135859.0	145232496	24616.0	-0.0259
TCGA-3Z-A93Z-01	9	789932.0	30255385	18198.0	-0.0273
TCGA-3Z-A93Z-01	9	30265921.0	30396359	75.0	0.3192
TCGA-3Z-A93Z-01	9	30397123.0	86531879	15857.0	-0.0218
TCGA-3Z-A93Z-01	9	86532098.0	86532356	2.0	-1.5913
